Robinzon Kruso;Ovo je opis Knjige;Ivo Andric;RobinKrus;1980;ENGLESKI;1;promena3;false
g;m;n;jg;1;ENGLESKI;2;1;true
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
NaslovNova;OpisKnjige;Aristotel;OGnaslovKnjige;1980;ENGLESKI;idNova;novi id;false
